City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
80,Kahului,US,78.8,scattered clouds,20.89,-156.47,Maui Seaside Hotel
84,Saint-Georges,GD,87.8,scattered clouds,12.06,-61.75,Siesta Hotel
90,Isangel,VU,76.91,light rain,-19.55,169.27,Volcano Sea View Tree House
91,Puerto Ayora,EC,82.4,few clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
92,Kieta,PG,78.3,overcast clouds,-6.22,155.63,
97,Sibiti,CG,70.39,overcast clouds,-3.68,13.35,Hotel Mapila 1
100,Natal,BR,82.4,broken clouds,-5.79,-35.21,Villa Park Hotel | Natal
108,Kalmunai,LK,79.79,heavy intensity rain,7.42,81.82,VS Villa
109,Japura,ID,74.03,overcast clouds,-0.32,102.35,Rumah mbah Jamah
112,Aden,YE,82.54,clear sky,12.78,45.04,Sama Emirate Hotel
113,Jalingo,NG,80.4,broken clouds,8.88,11.37,Debright Motel
116,Varkkallai,IN,82.4,mist,8.73,76.71,SPOT ON 72723 Pathanjali Ayurveda Yoga Centre( Dreams Beach Resort)
117,Namatanai,PG,80.1,scattered clouds,-3.67,152.43,Namatanai Hotel
118,Mandera,KE,83.34,overcast clouds,3.94,41.87,Kornesh Hotel and Lodging
124,Sawakin,SD,84.9,clear sky,19.11,37.33,فندق الدويم
127,Bubaque,GW,84.9,overcast clouds,11.28,-15.83,"Casa Dora, Bubaque"
132,Alofi,NU,73.4,light intensity shower rain,-19.06,-169.92,Taloa Heights
140,Padang,ID,77.94,overcast clouds,-0.95,100.35,Mercure Padang
141,Touros,BR,84.2,few clouds,-5.2,-35.46,INN NEW HORIZON
142,Sao Joao Da Barra,BR,75.2,broken clouds,-21.64,-41.05,Pousada Porto De Canoas
148,Douentza,ML,84.56,clear sky,15.0,-2.95,Ogomono Doumbo
150,Aitape,PG,77.47,moderate rain,-3.14,142.35,
155,Simpang Empat,MY,80.6,few clouds,4.95,100.63,"Fifiey Homestay 1, Selinsing RM160"
162,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
163,Abomey,BJ,76.41,overcast clouds,7.18,1.99,Residence Hotel Marie Emmanuella
170,Atuona,PF,77.63,overcast clouds,-9.8,-139.03,Villa Enata
173,Sola,VU,81.37,light rain,-13.88,167.55,Ulkel Guest House
176,Bengkulu,ID,75.13,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
177,Tarakan,ID,79.5,moderate rain,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
182,Lorengau,PG,80.64,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
183,Feijo,BR,85.26,light rain,-8.16,-70.35,Hotel e Restaurante Aҫai
184,Sao Filipe,CV,82.17,broken clouds,14.9,-24.5,Tortuga B&B
189,Auki,SB,77.79,overcast clouds,-8.77,160.7,Auki Motel
191,Ixtapa,MX,84.99,few clouds,20.7,-105.2,Container Inn Puerto Vallarta
192,Gemena,CD,70.92,broken clouds,3.25,19.77,Hôtel Goshen
193,Carahue,CL,75.2,clear sky,-38.7,-73.17,Hospedaje Familiar
