City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
135,Bluff,NZ,-46.6,168.33,55.0,98,100,8.01,light rain
136,Port Elizabeth,ZA,-33.92,25.57,50.0,81,0,5.82,clear sky
137,Moron,AR,-34.65,-58.62,69.01,39,0,4.7,clear sky
138,Hofn,IS,64.25,-15.21,39.2,86,90,3.36,light intensity drizzle
139,Aklavik,CA,68.22,-135.01,3.2,91,75,8.05,broken clouds
140,Padang,ID,-0.95,100.35,77.94,78,100,4.07,overcast clouds
141,Touros,BR,-5.2,-35.46,84.2,66,20,16.11,few clouds
142,Sao Joao Da Barra,BR,-21.64,-41.05,75.2,94,75,11.41,broken clouds
143,Sulina,RO,45.16,29.65,55.92,78,100,13.8,overcast clouds
144,Zyukayka,RU,58.2,54.7,33.91,91,100,7.63,light rain
145,Beringovskiy,RU,63.05,179.32,25.02,83,24,9.55,few clouds
146,Upernavik,GL,72.79,-56.15,20.77,95,95,2.91,overcast clouds
147,Namtsy,RU,62.72,129.67,-22.0,74,20,2.24,few clouds
148,Douentza,ML,15.0,-2.95,84.56,14,0,5.59,clear sky
149,Belaya Gora,RU,68.53,146.42,5.47,95,100,5.19,overcast clouds
150,Aitape,PG,-3.14,142.35,77.47,83,100,6.08,moderate rain
151,Cidreira,BR,-30.18,-50.21,65.35,63,62,8.75,broken clouds
152,Lebu,CL,-37.62,-73.65,58.39,69,0,12.55,clear sky
153,Yellowknife,CA,62.46,-114.35,19.4,85,75,9.17,broken clouds
154,Aasiaat,GL,68.71,-52.87,18.86,96,100,3.76,overcast clouds
155,Simpang Empat,MY,4.95,100.63,80.6,88,20,2.82,few clouds
156,Xining,CN,36.62,101.77,33.64,86,94,0.47,overcast clouds
157,Kanakapura,IN,12.55,77.42,67.1,75,24,1.86,few clouds
158,Lebyazhye,RU,55.27,66.49,30.11,95,94,8.05,overcast clouds
159,Chumikan,RU,54.72,135.31,33.26,91,95,7.81,overcast clouds
160,Straubing,DE,48.88,12.57,52.0,10,100,7.16,overcast clouds
161,Biloela,AU,-24.42,150.5,69.75,87,30,11.88,scattered clouds
162,Avarua,CK,-21.21,-159.78,75.2,78,98,11.41,overcast clouds
163,Abomey,BJ,7.18,1.99,76.41,89,95,5.37,overcast clouds
164,Bridlington,GB,54.08,-0.19,48.2,93,100,4.7,overcast clouds
165,Ostrovnoy,RU,68.05,39.51,34.86,87,95,19.84,overcast clouds
166,Cabra,ES,37.47,-4.44,64.0,72,0,3.36,clear sky
