City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
133,Kindersley,CA,2020-10-27 15:47:12,51.47,-109.17,41.0,65,90,12.75
134,Pedernales,DO,2020-10-27 15:47:12,18.04,-71.74,87.8,79,20,8.23
135,Bambanglipuro,ID,2020-10-27 15:47:12,-7.95,110.28,76.89,88,100,3.04
136,Espera Feliz,BR,2020-10-27 15:47:12,-20.65,-41.91,81.77,58,90,4.38
137,Zhezkazgan,KZ,2020-10-27 15:47:13,47.8,67.71,31.55,91,95,18.92
138,Nikolskoye,RU,2020-10-27 15:47:13,59.7,30.79,53.6,76,75,8.95
139,Brigantine,US,2020-10-27 15:47:13,39.41,-74.36,60.8,82,90,6.93
140,Tasiilaq,GL,2020-10-27 15:47:14,65.61,-37.64,32.0,92,75,18.34
141,Ambovombe,MG,2020-10-27 15:47:14,-25.17,46.08,72.27,82,0,18.9
142,Ketchikan,US,2020-10-27 15:47:14,55.34,-131.65,48.2,100,90,2.64
143,Shimoda,JP,2020-10-27 15:47:14,34.67,138.95,55.0,83,17,6.13
144,Carnduff,CA,2020-10-27 15:47:14,49.17,-101.8,28.0,86,100,8.01
145,Teguldet,RU,2020-10-27 15:47:14,57.31,88.17,34.21,92,96,5.12
146,Norman Wells,CA,2020-10-27 15:47:15,65.28,-126.83,23.0,92,75,6.93
147,Saldanha,ZA,2020-10-27 15:47:15,-33.01,17.94,62.6,86,100,13.22
148,Puerto Del Rosario,ES,2020-10-27 15:47:15,28.5,-13.86,73.4,64,75,17.22
149,Toora-Khem,RU,2020-10-27 15:47:15,52.47,96.11,28.54,90,85,2.08
150,Tromso,NO,2020-10-27 15:46:46,69.65,18.96,35.6,80,0,4.7
151,Ust-Omchug,RU,2020-10-27 15:47:16,61.15,149.63,13.53,89,0,1.32
152,Saint-Augustin,CA,2020-10-27 15:46:13,51.23,-58.65,34.7,82,99,5.75
153,Flinders,AU,2020-10-27 15:44:08,-34.58,150.86,55.99,89,48,1.01
154,Villalba,PR,2020-10-27 15:47:16,18.13,-66.49,89.01,86,84,1.01
155,Dikson,RU,2020-10-27 15:47:17,73.51,80.55,10.27,96,100,17.81
156,Te Anau,NZ,2020-10-27 15:47:17,-45.42,167.72,39.31,90,24,1.39
157,Sao Filipe,CV,2020-10-27 15:47:17,14.9,-24.5,82.72,65,96,7.63
158,Desna,UA,2020-10-27 15:47:17,50.93,30.76,55.99,76,13,6.71
159,Tucuman,AR,2020-10-27 15:44:39,-26.82,-65.22,80.6,34,0,9.17
160,Severodvinsk,RU,2020-10-27 15:47:18,64.56,39.83,37.4,100,90,4.47
161,Ampanihy,MG,2020-10-27 15:47:18,-24.7,44.75,76.26,61,0,16.67
162,Katsuura,JP,2020-10-27 15:43:53,35.13,140.3,62.6,72,20,8.05
163,Provideniya,RU,2020-10-27 15:47:18,64.38,-173.3,29.98,95,85,2.93
164,Richards Bay,ZA,2020-10-27 15:46:33,-28.78,32.04,75.47,75,51,14.29
165,Moranbah,AU,2020-10-27 15:47:19,-22.0,148.05,69.53,81,62,1.5
166,Kenitra,MA,2020-10-27 15:47:19,34.26,-6.58,66.2,59,40,13.87
167,Ko Samui,TH,2020-10-27 15:47:20,9.54,99.94,83.17,74,100,16.31
168,Gornopravdinsk,RU,2020-10-27 15:47:20,60.05,69.9,18.27,95,100,11.07
169,Kraslava,LV,2020-10-27 15:47:20,55.9,27.17,52.39,82,79,11.65
170,Puerto Escondido,MX,2020-10-27 15:47:21,15.85,-97.07,78.8,83,75,4.7
171,Lysyye Gory,RU,2020-10-27 15:47:21,51.55,44.84,35.89,78,2,7.4
172,Mercedes,AR,2020-10-27 15:47:21,-34.65,-59.43,72.0,47,0,1.99
173,Boyabat,TR,2020-10-27 15:47:21,41.47,34.77,64.13,60,34,3.24
174,Qaanaaq,GL,2020-10-27 15:47:21,77.48,-69.36,8.28,78,81,11.83
175,San Quintin,MX,2020-10-27 15:47:22,30.48,-115.95,65.23,26,0,5.26
176,Butaritari,KI,2020-10-27 15:43:39,3.07,172.79,80.83,69,94,7.99
177,Miquelon,PM,2020-10-27 15:47:22,47.1,-56.38,53.6,100,75,19.46
178,Port Lincoln,AU,2020-10-27 15:47:22,-34.73,135.87,55.31,87,0,6.69
179,Mangaldai,IN,2020-10-27 15:47:22,26.43,92.03,78.8,100,40,0.04
180,Westport,US,2020-10-27 15:45:18,41.14,-73.36,55.99,62,90,8.05
181,Airai,TL,2020-10-27 15:44:09,-8.93,125.41,61.75,100,91,1.03
182,Sabang,ID,2020-10-27 15:47:23,5.89,95.32,82.74,77,47,18.37
183,Visby,SE,2020-10-27 15:47:23,57.64,18.3,53.01,87,75,14.99
184,Cidreira,BR,2020-10-27 15:47:23,-30.18,-50.21,64.9,81,90,17.76
185,Esmeraldas,BR,2020-10-27 15:47:24,-19.76,-44.31,86.0,51,40,8.05
186,Flin Flon,CA,2020-10-27 15:47:24,54.77,-101.86,24.8,92,90,4.7
187,Bogalusa,US,2020-10-27 15:46:45,30.79,-89.85,79.0,69,1,5.82
188,Honningsvag,NO,2020-10-27 15:47:24,70.98,25.97,37.4,74,0,21.92
189,Saint-Georges,GD,2020-10-27 15:42:40,12.06,-61.75,86.0,74,20,11.41
190,San Patricio,US,2020-10-27 15:47:25,28.02,-97.52,55.4,93,90,13.87
191,College,US,2020-10-27 15:46:34,64.86,-147.8,26.6,92,90,2.48
192,Dunedin,NZ,2020-10-27 15:47:25,-45.87,170.5,48.0,84,1,3.98
193,Wajir,KE,2020-10-27 15:47:26,1.75,40.06,91.4,41,75,12.53
194,Bowen,AU,2020-10-27 15:47:26,-20.02,148.23,73.4,88,90,1.12
195,Naron,ES,2020-10-27 15:47:26,43.52,-8.15,62.6,82,75,19.46
196,Urman,RU,2020-10-27 15:47:26,54.88,56.87,28.74,93,19,4.59
197,Tamalameque,CO,2020-10-27 15:47:26,8.85,-73.81,90.86,58,23,1.92
198,Tarime,TZ,2020-10-27 15:47:27,-1.35,34.37,75.2,78,90,5.82
199,Straumen,NO,2020-10-27 15:47:27,63.87,11.3,50.0,61,0,14.99
200,Thompson,CA,2020-10-27 15:45:02,55.74,-97.86,21.2,85,90,2.1
201,Garowe,SO,2020-10-27 15:47:27,8.41,48.48,85.53,24,14,3.96
202,Okhotsk,RU,2020-10-27 15:47:29,59.38,143.3,29.07,83,3,8.88
203,Contamana,PE,2020-10-27 15:47:29,-7.33,-75.02,98.02,36,53,5.95
204,Ojinaga,MX,2020-10-27 15:47:30,29.57,-104.42,39.2,69,90,12.75
205,Northam,GB,2020-10-27 15:47:30,51.03,-4.22,55.99,79,98,13.0
206,Narsaq,GL,2020-10-27 15:43:45,60.92,-46.05,33.8,64,75,4.34
207,Nemuro,JP,2020-10-27 15:43:03,43.32,145.57,49.53,68,41,2.55
208,Plettenberg Bay,ZA,2020-10-27 15:47:31,-34.05,23.37,68.81,68,98,8.48
209,Methala,IN,2020-10-27 15:47:31,10.22,76.22,77.0,94,90,8.05
210,Hasaki,JP,2020-10-27 15:46:25,35.73,140.83,55.4,87,40,6.93
211,Boyarka,UA,2020-10-27 15:47:31,50.32,30.3,55.4,76,0,6.71
212,Muzhi,RU,2020-10-27 15:47:31,65.37,64.67,8.74,95,100,2.75
213,Hambantota,LK,2020-10-27 15:47:32,6.12,81.12,77.0,100,75,2.24
214,Kavaratti,IN,2020-10-27 15:47:32,10.57,72.64,82.24,72,15,5.64
215,Turayf,SA,2020-10-27 15:47:32,31.67,38.66,82.4,14,0,13.87
216,Constitucion,CL,2020-10-27 15:47:32,-35.33,-72.42,57.65,70,96,5.55
217,Tabou,CI,2020-10-27 15:47:33,4.42,-7.35,81.03,80,99,8.37
218,Longyearbyen,SJ,2020-10-27 15:44:55,78.22,15.64,32.0,94,75,14.99
219,Xichang,CN,2020-10-27 15:47:33,27.9,102.26,61.83,77,21,1.48
220,Lazaro Cardenas,MX,2020-10-27 15:43:07,17.96,-102.2,83.35,79,99,1.99
221,Clyde River,CA,2020-10-27 15:47:34,70.47,-68.59,12.2,61,75,6.93
222,Palmer,US,2020-10-27 15:44:07,42.16,-72.33,52.0,76,90,5.82
223,Saint-Ambroise,CA,2020-10-27 15:47:34,48.55,-71.33,28.0,73,75,12.75
224,Hamilton,US,2020-10-27 15:42:43,39.18,-84.53,50.0,87,90,1.41
225,Slave Lake,CA,2020-10-27 15:45:16,55.28,-114.77,41.0,86,90,24.16
226,Barashevo,RU,2020-10-27 15:47:35,54.53,42.88,36.09,84,89,6.6
227,Milicz,PL,2020-10-27 15:47:35,51.53,17.27,52.0,83,97,1.01
228,Petropavlovsk-Kamchatskiy,RU,2020-10-27 15:47:35,53.05,158.65,35.6,93,10,4.47
229,Waddan,LY,2020-10-27 15:47:36,29.16,16.14,84.34,17,21,12.48
230,Waipawa,NZ,2020-10-27 15:47:36,-41.41,175.52,51.8,76,100,17.22
231,Shahr-E Babak,IR,2020-10-27 15:47:36,30.12,55.12,57.15,30,0,14.94
232,Iralaya,HN,2020-10-27 15:47:36,15.0,-83.23,81.99,80,100,3.74
233,Perth,AU,2020-10-27 15:47:24,-31.93,115.83,66.2,72,75,16.11
234,Gorontalo,ID,2020-10-27 15:47:38,0.54,123.06,76.05,78,98,2.35
235,Nishihara,JP,2020-10-27 15:47:38,26.18,127.76,75.2,68,20,12.77
236,Qui Nhon,VN,2020-10-27 15:47:38,13.77,109.23,75.87,83,100,26.82
237,La Ronge,CA,2020-10-27 15:47:38,55.1,-105.28,26.6,92,90,5.82
238,Mount Gambier,AU,2020-10-27 15:47:39,-37.83,140.77,48.2,100,3,5.82
239,Saint George,US,2020-10-27 15:45:35,37.1,-113.58,42.01,19,1,6.93
240,Port Blair,IN,2020-10-27 15:47:39,11.67,92.75,80.31,77,2,3.18
241,Grand Gaube,MU,2020-10-27 15:47:39,-20.01,57.66,75.0,71,13,4.0
242,Lebork,PL,2020-10-27 15:42:57,54.54,17.75,54.0,81,0,6.93
243,Ruteng,ID,2020-10-27 15:47:40,-8.61,120.47,64.26,100,94,3.02
244,Yulara,AU,2020-10-27 15:44:29,-25.24,130.99,71.6,19,0,6.93
245,Pevek,RU,2020-10-27 15:44:17,69.7,170.31,20.12,96,100,16.64
246,Luderitz,NA,2020-10-27 15:47:41,-26.65,15.16,61.81,67,71,17.16
247,Kloulklubed,PW,2020-10-27 15:44:03,7.04,134.26,75.2,94,40,3.36
248,Kruisfontein,ZA,2020-10-27 15:47:41,-34.0,24.73,71.01,78,89,1.01
249,Vallenar,CL,2020-10-27 15:47:42,-28.57,-70.76,71.8,44,44,6.69
250,Necochea,AR,2020-10-27 15:47:42,-38.55,-58.74,69.33,52,0,7.49
251,Lazarev,RU,2020-10-27 15:47:42,52.23,141.51,39.88,72,95,2.24
252,Mackenzie,CA,2020-10-27 15:44:49,55.3,-123.17,39.2,93,90,9.17
253,Marrakesh,MA,2020-10-27 15:47:43,31.63,-8.01,73.4,46,40,5.82
254,Nanortalik,GL,2020-10-27 15:47:24,60.14,-45.24,31.78,89,100,6.76
255,Udachnyy,RU,2020-10-27 15:47:43,66.42,112.4,-7.6,83,86,2.24
256,Demerval Lobao,BR,2020-10-27 15:47:43,-5.36,-42.68,89.6,49,75,5.82
257,La Asuncion,VE,2020-10-27 15:47:43,11.03,-63.86,86.0,66,0,13.87
258,Kailua,US,2020-10-27 15:47:43,21.4,-157.74,77.0,88,20,4.47
259,Coruripe,BR,2020-10-27 15:47:44,-10.13,-36.18,85.15,63,81,17.69
260,Hirara,JP,2020-10-27 15:47:44,24.8,125.28,77.34,73,39,15.66
261,Ponta Do Sol,PT,2020-10-27 15:47:44,32.67,-17.1,68.0,68,75,13.87
